Sentences,Label
"Uống với 1 cốc nước
Người lớn: mỗi lần 1-2 viên, ngày 2-3 lần.
Trẻ em: tuân theo sự chỉ dẫn của Thầy thuốc.",thuoc ho
"Bromhexin: 8mg
Tá dược vừa đủ 1 viên",thuoc ho
"Cách dùng: Dùng đường uống.

Liều dùng: Dùng theo chỉ dẫn của Thầy thuốc hoặc theo liều sau:

Người lớn: uống 1 - 2 viên/lần, ngày 2 - 3 lần.
Trẻ em > 5 tuổi: uống 1 viên/ lần, ngày 2 - 3 lần.
Trẻ em từ 12 -18 tuổi: Để điều trị chứng ho. Terpincodein F không được khuyến cáo dùng cho trẻ em có suy giản chức năng hô hấp (xem phần Thận trọng và cảnh báo đặc biệt khi sử dụng thuốc).
Trẻ em dưới 12 tuổi: Chống chỉ định Terpincodein F để điều trị chứng ho (xem phần chống chỉ định).",thuoc ho
"Thuốc dùng đường uống. Thuốc có thể uống lúc đói hay no. Tuy nhiên nên uống lúc no để hạn chế tác dụng không mong muốn trên đường tiêu hóa của thuốc.
Liều dùng:
Liều lượng phụ thuộc vào sự nhạy cảm của vi khuẩn, mức độ nghiêm trọng của bệnh và tình trạng lâm sàng của bệnh nhân (thận và chức năng gan).",thuoc khang sinh
"Mỗi viên nang cứng chứa:

Paracetamol 500mg.

Tá dược: Cellulose vi tinh thể, Tinh bột mì, Natri lauryl sulfat, Magnesi stearat.",thuoc giam dau
"Paracetamol: 250mg
Guaifenesin: 100mg
Phenylephrine hydrochloride: 5mg
Tá dược vừa đủ 1 viên",thuoc ho
"Thục địa 25.0g, Thiên môn đông 25.0g, Tử uyển 20.0g, Sa sâm 20.0g, Mạch môn 20.0g, Bách bộ 20.0g, Mẫu đơn bì 20.0g, Ngũ vị tử 10.0g, Phục linh 10.0g, Cao La hớn quả 1.25g, Menthol 1.25g. Tá dược vừa đủ 250ml.",thuoc ho
"Điều trị nhiễm khuẩn do vi khuẩn nhạy cảm trong các trường hợp:

Nhiễm khuẩn đường hô hấp trên và dưới bao gồm: Viêm tai giữa, viêm xoang, nhiễm trùng răng miệng, viêm amidan, viêm họng hầu, viêm phổi, viêm phế quản cấp và những đợt cấp của viêm phế quản mạn tính.

Nhiễm khuẩn đường tiết niệu - sinh dục: Viêm bàng quang, viêm thận - bể thận, viêm niệu đạo, bệnh lậu.

Nhiễm khuẩn da và mô mềm: Nhọt, mủ da, chốc lở.",thuoc khang sinh
"Bổ sung Vitamin C thiên nhiên, tăng cường sức đề kháng cho cơ thể.
Giúp phòng ngừa và hỗ trợ điều trị cảm mạo, ho, viêm họng, đau rát họng, khan tiếng, khò khè, sổ mũi.",thuoc ho
Thành phần chủ yếu là cao lá thường xuân.,thuoc ho
"Mỗi viên nén chứa:

Thành phần dược chất: Paracetamol: 500mg.

Thành phần tá dược: Avicel PHI 01, Tinh bột sắn, Natri starch glycolat, Talc, Magnesi stearat.",thuoc giam dau
"Paracetamol 500 mg

Cafein 25 mg

Phenylephrin 5 mg

Thành phần tá dược: Tinh bột mì, tinh bột biến tính, màu erythrosin lake, microcrystalline cellulose M101, natri croscarmellose, acid stearic, talc, mùi blueberry, povidon K30, natri lauryl sulfat, kali sorbat.",thuoc giam dau
"Tác dụng: Thanh nhiệt, giải độc, chống viêm, tiêu sưng

Chỉ định: Điều trị các trường hợp viêm loét miệng lưỡi (nhiệt miệng), miệng môi sưng đau, đau nhức răng, chảy máu chân răng, sưng lợi, viêm họng, hôi miệng.",thuoc ho
"Ðiều trị các nhiễm khuẩn do các vi khuẩn nhạy cảm với thuốc tại các vị trí sau: - Ðường hô hấp trên (bao gồm cả Tai Mũi Họng) như: viêm amidan, viêm xoang, viêm tai giữa; - Ðường hô hấp dưới, như đợt cấp của viêm phế quản mãn, viêm phổi thùy và viêm phổi phế quản; - Ðường tiêu hóa: như sốt thương hàn; - Ðường niệu - sinh dục: như viêm thận - bể thận, lậu, sảy thai nhiễm khuẩn hay nhiễm khuẩn sản khoa. Các nhiễm khuẩn như nhiễm khuẩn huyết, viêm nội tâm mạc và viêm màng não do vi khuẩn nhạy cảm với thuốc nên được điều trị khởi đầu theo đường tiêm với liều cao và, nếu có thể, kết hợp với một kháng sinh khác. - Dự phòng viêm nội tâm mạc: Amoxicillin có thể được sử dụng để ngăn ngừa du khuẩn huyết có thể phát triển viêm nội tâm mạc. Tham khảo thông tin kê toa đầy đủ về các vi khuẩn nhạy cảm.",thuoc khang sinh
"Không đủ dữ liệu để đưa ra liều khuyến cáo.

Cách dùng:

- Đường uống.

- Cho thuốc vào cốc, sau đó thêm một ít nước. Khuấy đều và uống ngay.

- Để giảm khả năng không dung nạp thuốc ở đường tiêu hóa, nên uống vào lúc bắt đầu bữa ăn để thuốc hấp thu tốt nhất.",thuoc khang sinh
"Liều dùng được tính theo amoxicilin, uống thuốc ngay trước bữa ăn để giảm thiểu hiện tượng không dung nạp thuốc ở dạ dày - ruột.
Người lớn và trẻ em trên 12 tuổi:
Nhiễm khuẩn nặng, uống 1 viên x 2 lần/ ngày.
Không dùng Klamentin 875/125 ở người suy thận trung bình.
Thời gian điều trị kéo dài từ 5 -10 ngày. Điều trị không được vượt quá 14 ngày mà không khám lại.",thuoc khang sinh
Acetylcysteine 200mg,thuoc ho
"Hạ sốt, giảm đau do bệnh cảm cúm, nóng sốt, đau nhức ở trẻ em, có kèm các triệu chứng dị ứng như nhảy mũi, chảy nước mũi, dị ứng da.",thuoc ho
"Mỗi viên nén dài bao phim chứa:

Hoạt chất: Paracetamol 500 mg, Cafein 65 mg

Tá dược: Tinh bột ngô, povidon, natri starch glycolat, natri lauryl sulfat, magnesi stearat, silic dioxyd, hypromellose, macrogol, propylen glycol, talc, titan dioxyd.",thuoc giam dau
"Chỉ dùng đường uống.

Không dùng quá liều chỉ định.

Nên sử dụng liều thấp nhất cần thiết để có hiệu quả điều trị.

Người lớn (kể cả người cao tuổi) và trẻ em từ 12 tuổi trở lên:

Nên dùng 1 hoặc 2 viên (500mg Paracetamol/25mg caffeine/5mg phenylephrine hydrochloride đến 1000mg paracetamol/50mg caffeine/10mg phenylephrine hydrochloride) mỗi lần, có thể dùng tới 4 lần/ngày.

Liều tối đa hàng ngày: 8 viên (4000mg paracetamol/200mg caffeine/40mg phenylephrine hydrochloride) trong 24 giờ.

Khoáng cách liều tối thiểu: 4 giờ.

Thời gian tối đa dùng thuốc không có tư vấn của bác sỹ: 7 ngày.

Trẻ em dưới 12 tuổi:

Không khuyến nghị dùng thuốc này cho trẻ em dưới 12 tuổi.",thuoc giam dau
"Hòa tan viên thuốc trong lượng nước tuỳ thích đến khi hết sủi bọt. Khoảng cách giữa 2 lần uống phải hơn 4 giờ và không uống quá 8 viên/ ngày.

Người lớn và trẻ em > 12 tuổi: uống 1 viên/ lần.

Đau nhiều: người lớn có thể uống 2 viên/ lần.

Hoặc theo chỉ dẫn của Thầy thuốc.

Lưu ý:

* Liều tối đa/24 giờ:

- Đối với trẻ em: uống không quá 5 lần/ ngày.

* Không nên kéo dài việc tự sử dụng thuốc mà cần có ý kiến bác sĩ khi:

- Có triệu chứng mới xuất hiện.

- Sốt cao (39,5 độ C) và kéo dài hơn 3 ngày hoặc tái phát.

- Đau nhiều và kéo dài hơn 5 ngày.",thuoc giam dau
"Người lớn 3 – 6 viên/ngày, chia 3 lần.
Thời gian điều trị: không quá 5 ngày trừ khi có chỉ định của Bác sĩ. ",thuoc ho
"Liều dùng:
- Người lớn và trẻ em từ 40 kg trở lên:
+ Nhiễm khuẩn nặng và nhiễm khuẩn đường hô hấp: 500mg amoxicilin/125mg acid clavulanic mỗi 8 giờ.
+ Nhiễm khuẩn khác: 500mg amoxicilin/125mg acid clavulanic mỗi 12 giờ.
- Trẻ em dưới 40 kg:
- Từ 20mg amoxicilin/ 5mg acid clavulanic/kg cân nặng đến 60mg amoxicilin/15mg acid clavulanic/kg cân nặng chia làm 3 lần 1 ngày.
- Tính an toàn của thuốc với liều trên 40mg amoxicilin/ 10mg acid clavulanic/kg/ngày ở trẻ em dưới hai tuổi chưa được biết rõ ràng.
- Người cao tuổi: không cần chỉnh liều.
- Bệnh nhân suy thận: điều chỉnh liều và số lần dùng thuốc tùy theo độ thanh thải creatinin.
Cách dùng:
- Uống thuốc vào lúc bắt đầu ăn để giảm thiểu hiện tượng không dung nạp thuốc ở dạ dày - ruột.
- Không dùng thuốc quá 14 ngày mà không kiểm tra xem xét lại cách điều trị.",thuoc khang sinh
"Mỗi gói cốm 1,5g chứa:

Hoạt chất: 75mg cefixime (dưới dạng cefixime trihydrate).

Tá dược: Kyron T114, compressuc MS, sucralose, madhu silica CSD, gôm xanthan, hương dâu/ hương cam.",thuoc khang sinh
"Mỗi kho chứa cứng:

Hoạt chất: Cefadroxil monohydrat tương đương Cefadroxil 500mg.

Tá dược: Lactose monohydrat, magnesi stearat, natri tinh bột glycolat, silicon dioxyd dạng keo, vỏ nang gelatin.",thuoc khang sinh
"Hòa tan thuốc vào lượng nước (thích hợp cho bé) đến khi sủi hết bọt.

Cách mỗi 6 giờ uống một lần, không quá 5 lần/ngày.

Liều uống: trung bình từ 10 -15mg/kg thể trọng/lần.

Tổng liều tối đa không quá 60mg/kg thể trọng/24 giờ.

Hoặc theo phân liều sau:

Trẻ em từ 1 đến 3 tuổi: uống 1 gói/lần.

Hoặc theo chỉ dẫn của Thầy thuốc.

Lưu ý: Không nên kéo dài việc tự sử dụng thuốc cho trẻ mà cần có ý kiến bác sĩ khi:

- Có triệu chứng mới xuất hiện.

- Sốt cao (39.5°C) và kéo dài hơn 3 ngày hoặc tái phát.

- Đau nhiều và kéo dài hơn 5 ngày.",thuoc giam dau
"Cefixim (dưới dạng cefixim trihydrat) 200mg.
Tá dược: Tinh bột biến tính (National 78-1551), microcrystalline cellulose M112, calci hydrophosphat dihydrat, magnesi stearat, hypromellose 2910 (6cp), hypromellose 2910 (15cp), PEG 6000, talc, titan dioxyd, oxyd sắt vàng vừa đủ 1 viên.",thuoc khang sinh
"Người lớn: 1-2 viên/lần, ngày 3-4 lần.
Trẻ em từ 30 tháng-12 tuổi: 1-2viên/ngày, chia làm 3-4 lần, tùy theo tuổi.",thuoc ho
"Terpin hydrat 100 mg.
Codein phosphat 5 mg.
Tá dược vừa đủ 1 viên",thuoc ho
"Các chứng ho do cảm lạnh, nhiễm lạnh, ho gió, ho khan, ho có đờm, ho do dị ứng thời tiết. Người bị phế âm hư gây ho dai dẳng lâu ngày, miệng họng khô, cổ họng ngứa, nóng rát, khản tiếng. Hỗ trợ điều trị viêm phổi, viêm họng, viêm phế quản.",thuoc ho
"Cefixim là một kháng sinh cephalosporin đường uống có tác dụng trên nhiều loại vi khuẩn Gram dương và vi khuẩn Gram âm. Thuốc được chỉ định để điều trị các trường hợp nhiễm khuẩn cấp tính gây ra bởi các chủng vi khuẩn nhạy cảm:

Nhiễm khuẩn đường hô hấp trên: ví dụ viêm tai giữa, và các nhiễm khuẩn đường hô hấp trên khác mà vi khuẩn gây bệnh được biết hoặc nghi ngờ đã kháng các kháng sinh thường dùng khác, hoặc nếu điều trị thất bại sẽ dẫn đến nguy cơ đáng kể.

Nhiễm khuẩn đường hô hấp dưới: ví dụ viêm phế quản, viêm phổi mắc phải tại cộng đồng thể nhẹ và vừa.

Nhiễm khuẩn đường tiết niệu: viêm bàng quang, viêm niệu đạo, viêm thận- bể thận.

Bệnh lậu chưa biến chứng do Neisseria gonorrhoeae (kể cả các chủng tiết beta-lactamase); bệnh thương hàn do Salmomella typhi (kể cả chủng đa kháng thuốc); bệnh lỵ do Shigella nhạy cảm (kể cả các chủng kháng ampicilin).

Hiệu quả lâm sàng của thuốc đã được chứng minh trong các nhiễm khuẩn gây ra bởi các tác nhân gây bệnh thường gặp bao gồm Streptococcus pneumoniae, Streptococcus pyogenes, Escherichia coli, Proteus mirabilis, các chủng Klebsiella, Haemophilus influenza (có hoặc không có sản sinh ra beta-lactamase), Branhamella catarrhalis (có hoặc không có sản sinh ra beta-lactamase) và các chủng Enterobacter. Cefixim bền vững khi có mặt các enzym beta-lactamase.

Hầu hết các chủng liên cầu khuẩn đường ruột (Streptococcus faecalis, Streptococci nhóm D) và Staphylococci (bao gồm các chủng có hoặc không có coagulase và các chủng kháng methicillin) đã kháng cefixim. Ngoài ra, hầu hết các chủng Pseudomonsa, Bacteriodes fragalis, Listeria monocytogenes và Clostridia đều kháng cefixim.",thuoc khang sinh
"Điều trị các triệu chứng đau trong các trường hợp: đau đầu, đau nửa đầu, đau răng, đau nhức do cảm cúm, đau họng, đau nhức cơ xương, đau do viêm khớp, đau sau khi tiêm ngừa hay nhổ răng.

- Hạ sốt ở bệnh nhân bị cảm hay những bệnh có liên quan đến sốt.",thuoc giam dau
"Thuốc dùng cho người lớn và trẻ em trên 6 tuổi.

Dùng đường uống, uống viên thuốc với một ít nước.

Dị ứng, chống ho

Điều trị triệu chứng: nên dùng trong thời gian ngắn, khoảng một vài ngày. Uống lặp lại nhiều lần trong ngày nếu cần thiết, nhưng không quá 4 lần/ngày. Nếu trị ho, chỉ nên dùng thuốc vào những lúc bị ho.
Người lớn: 1-2 viên/lần.
Trẻ em trên 6 tuổi (20kg): 0,125mg - 0,25mg/kg/lần (½ viên - 1 viên/lần)
Nên uống vào buổi tối vì thuốc có tác dụng an thần mạnh.
Tác dụng trên giấc ngủ

Uống một lần trước khi đi ngủ.
Người lớn: 5mg - 20mg (1–4 viên).
Trẻ em trên 6 tuổi: 0,25mg - 0,5mg/kg
Trẻ em từ 20kg – 40kg (6 đến 10 tuổi): 1 viên.
Trẻ em từ 40kg – 50kg (10 đến 15 tuổi): 2 viên
Khi một lần quên không dùng thuốc: Tiếp tục dùng thuốc theo chỉ định của Thầy thuốc, không dùng bù liều đã quên.",thuoc ho
"Người lớn và trẻ em từ 12 tuổi trở lên: uống 1 viên/lần, khoảng cách giữa các lần uống thuốc từ 4 - 6 giờ, không dùng quá 6 viên trong vòng 24 giờ.

Nên uống trong bữa ăn hoặc sau bữa ăn.",thuoc giam dau
"Hòa trong 5–30 ml nước để uống. Không dùng paracetamol cho trẻ em để tự điều trị sốt cao (trên 39,5 độ C), sốt kéo dài trên 3 ngày, hoặc sốt tái phát, trừ khi do thầy thuốc hướng dẫn, vì sốt như vậy có thể là dấu hiệu của một bệnh nặng cần được thầy thuốc chẩn đoán nhanh chóng.

Ngày uống 3–4 lần, khoảng cách các lần dùng cách nhau 4-6 giỗ, tối đa 4 liều 24 giờ.
Trẻ em từ 1- 2 tuổi: - 1 gói/lần.
Trẻ em từ 2 – 4 tuổi 1-1,5 gói/lần.
Trẻ em từ 4 – 8 tuổi: 1,5 – 2 gói/lần.
Trẻ em từ 8 – 12 tuổi: 2 gói/lẫn.
Suy thận: Ở trẻ em, Cl < 10 ml/phút, cho cách nhau 8 giờ/lần. Người lớn: Clcr 10-50 ml/phút, cho cách nhau 6 giờ/lần, Cicr < 10 ml/phút, cho cách nhau 8 giờ lần.

Suy gan: Dùng thận trọng, dùng liều thấp, tránh dùng kéo dài. Khi một lần quên không dùng thuốc: Hãy uống càng sớm càng tốt. Tuy nhiên, nếu gần với liều kế tiếp, hãy bỏ qua liều đã quên và uống liều kế tiếp vào thời điểm như kế hoạch, không dùng bù liều đã quên.",thuoc ho
"Thành phần dược chất: 460 mg cao khô hỗn hợp dược liệu tương đương
Hương phụ (Rhizoma Cyperi): 494 mg
Phòng phong (Radix Saposhnikoviae divaricatae): 329,2 mg
Cam thảo (Radix et Rhizoma Glycyrrhizae): 230,4 mg
Sinh khương (Rhizoma Zingiberis Recens): 806,4 mg
Tía tô (Folium Perillae frutescensis): 494 mg
Kinh giới (Herba Elsholtziae ciliatae): 329,2 mg
Mạn kinh tử (Fructus Viticis trifoliate): 329,2 mg
Tần giao (Radix Gentianae): 329,2 mg
Trần bì (Pericarpium Citri reticulatae perenne): 494 mg
Xuyên khung (Rhizoma Ligustici wallichii): 164,4 mg
Thành phần tá dược: Microcrystalline cellulose, Calcium carbonat, Magnesium stearate, Sodium Starch Glycolate, Silicon dioxide, Iron Oxide Brown, Titan dioxyd, Hydroxypropyl methyl cellulose 6cps, PEG 6000, Talc.",thuoc ho
"Mỗi gói 3g chứa:

Paracetamol 325mg.

Natri benzoat 100mg.

Clorpheniramin maleat 2mg.

Tá dược: Đường trắng, Lactose, Natri carboxymethyl cellulose, Aspartam, Phẩm màu Erythrosin dye, Bột hương cam.",thuoc giam dau
Theo chỉ dẫn của bác sỹ.,thuoc khang sinh
"Cách mỗi 6 giờ uống một lần.

Trẻ em từ 6 đến 12 tuổi: uống 1 viên/lần.

Người lớn và trẻ em trên 12 tuổi: uống 1 1/2 viên/lần.

Hoặc theo chỉ dẫn của Thầy thuốc.

Lưu ý:

* Liều tối đa/24 giờ:

- Đối với trẻ em: uống không quá 5 lần/ngày.

* Không nên kéo dài việc tự sử dụng thuốc mà cần có ý kiến bác sĩ khi:

- Có triệu chứng mới xuất hiện.

- Sốt cao (39,5°C) và kéo dài hơn 3 ngày hoặc tái phát.

- Đau nhiều và kéo dài hơn 5 ngày.",thuoc giam dau
"Nên uống thuốc Erythromycin Mekophar 500mg vào lúc đói, nếu bị kích ứng tiêu hóa thì uống trong khi ăn.

- Theo chỉ định của bác sỹ.

- Liều đề nghị:

+ Người lớn: uống 500 – 1000mg/lần, ngày 2-3 lần.

+ Trẻ em: uống 30 – 50mg/kg/ngày, chia 2 - 3 lần.",thuoc khang sinh
"AUGMENTIN là thuốc kháng sinh với phổ kháng khuẩn rộng đặc biệt chống lại các vi khuẩn thường gây bệnh trong cộng đồng và bệnh viện. Tác dụng ức chế men beta-lactamase của Clavulanate mở rộng phổ kháng khuẩn của Amoxicillin hơn nữa, bao gồm nhiều chủng đã kháng các kháng sinh nhóm beta-lactam khác.
Nên sử dụng AUGMENTIN theo hướng dẫn kê toa thuốc kháng sinh chính thức và dữ liệu về tính nhạy cảm của các vi khuẩn tại địa phương.
AUGMENTIN dạng uống dùng 2 lần/ngày được chỉ định để điều trị ngắn hạn nhiễm khuẩn ở các vị trí dưới đây:
Nhiễm khuẩn đường hô hấp trên (gồm cả tai – mũi - họng) như viêm amidan, viêm xoang, viêm tai giữa.
Nhiễm khuẩn đường hô hấp dưới như đợt cấp của viêm phế quản mạn, viêm phổi thùy và viêm phế quản phổi.
Nhiễm khuẩn đường niệu - sinh dục như viêm bàng quang, viêm niệu đạo, viêm thận - bể thận.
Nhiễm khuẩn da và mô mềm như nhọt, áp-xe, viêm mô tế bào, nhiễm khuẩn vết thương.
Nhiễm khuẩn xương và khớp như viêm tủy xương.
Nhiễm khuẩn răng như áp-xe ổ răng.
Các nhiễm khuẩn khác như nạo thai nhiễm khuẩn, nhiễm khuẩn sản khoa, nhiễm khuẩn trong ổ bụng.
Tính nhạy cảm của vi khuẩn với AUGMENTIN sẽ thay đổi theo địa lý và thời gian (xem Các Đặc tính dược học, Dược lực học để biết thêm thông tin). Nên tham khảo dữ liệu về tính nhạy cảm của các vi khuẩn tại địa phương nếu có, và tiến hành lấy mẫu vi sinh và xét nghiệm về tính nhạy cảm nếu cần.",thuoc khang sinh
"Cách dùng:
- Uống vào lúc bắt đầu ăn để giảm thiểu hiện tượng không dung nạp thuốc ở dạ dày - ruột.
- Không dùng thuốc quá 14 ngày mà không kiểm tra xem xét lại cách điều trị.
Liều dùng: Tính theo hàm lượng amoxicilin có trong thuốc.
- Người lớn và trẻ em trên 40kg: Uống 1 viên, cách 8 giờ/lần, trong 5 ngày.
- Người cao tuổi: Không cần điều chỉnh liều trừ khi độ thanh thải creatinin ≤ 30 ml/phút.
- Suy thận: Khi có tổn thương thận, phải thay đổi liều và/hoặc số lần cho thuốc để đáp ứng với tổn thương thận.",thuoc khang sinh
"Hoạt chất: Spiramycin 750.000 IU, Metronidazol 125mg.
Tá dược: Tinh bột sắn, avicel, talc, magnesi stearat, sodium starch glycolat, ludipress, natri lauryl sulfat, PVP K30, PVA, HPMC, kollidon VA 64, titan dioxyd, màu eurolake ponceau vừa đủ 1 viên",thuoc khang sinh
"Hoạt chất: Amoxicilin (dưới dạng amoxicilin trihydrat) 875mg, Acid clavulanic (dưới dạng kali clavulanat) 125mg
Tá dược vừa đủ 1 viên: Aerosil, polyplasdon XL, avicel M112, magnesi stearat, sepifilm LP914, titan dioxyd, talc.",thuoc khang sinh
"Cefadroxil 500mg được chỉ định để điều trị nhiễm khuẩn do các vi khuẩn nhạy cảm:
- Viêm họng và viêm amidan do Streptococcus.
- Viêm phổi - phế quản, viêm phổi nhiễm khuẩn.
- Nhiễm khuẩn đường tiết niệu không biến chứng như viêm thận, viêm bàng quang.
- Nhiễm khuẩn da và mô mềm: Áp xe, bệnh nhọt, chốc lở, viêm quầng, viêm da mủ, viêm hạch bạch huyết.
Nên theo dõi những hướng dẫn về việc sử dụng kháng sinh ở địa phương.",thuoc khang sinh
"Dùng uống
- Người lớn: 250 - 500mg cách 6 giờ/lần, tùy theo mức độ nhiễm khuẩn. Liều có thể lên tới 4g/ngày.
- Trẻ em ≥ 20kg: 25 - 60mg/kg/ngày, chia thành 2 - 3 lần. Trường hợp nhiễm khuẩn nặng, liều tối đa là 100mg/kg/ngày.
* Lưu ý: thời gian điều trị nên kéo dài ít nhất từ 7 đến 10 ngày. Trong các nhiễm khuẩn đường niệu phức tạp, tái phát, mạn tính, nên điều trị 2 tuần (1g/lần x 2 lần/ngày). Với bệnh lậu, thường dùng liều duy nhất 3g với 1g probenecid cho nam hay 2g với 0.5g probenecid cho nữ. Dùng kết hợp với probenecid sẽ kéo dài thời gian đào thải của cefalexin và làm tăng nồng độ trong huyết thanh từ 50 - 100%.",thuoc khang sinh
"Uống thuốc 1 giờ trước hoặc 2 giờ sau khi ăn, nên uống với nhiều nước ở tư thế đứng, không nên nằm nghỉ ngay sau khi uống thuốc:
- Người lớn: 2 - 4 viên/24 giờ, chia 2 - 4 lần.
- Trẻ em từ 8 - 15 tuổi: 10 - 25mg/kg/24 giờ, chia 3 - 4 lần (không quá 2g/24 giờ).",thuoc khang sinh
"Người lớn và thiếu niên:

- Viêm phổi mắc phải cộng đồng, do các tác nhân Haemophilus influenzae, Haemophilus parainfluenzae, Streptococcus pneumoniae (chủng nhạy cam với penicillin), va Moraxellacatarrhalis (gồm cả chủng sinh β- lactamase).

- Đợt cấp của viêm phế quản mãn, cũng do bởi những tác nhân kể trên.

- Viêm xoang cấp tính do Haemophilus influenzae, Streptococcus pneumoniae, Moraxella catarrhalis (gồm cả chủng sinh β- lactamase).

- Nhiễm khuẩn da và cấu trúc da do Staphylococcus aureus (gồm cả chủng sinh β- lactamase) và Streptococcus pyogenes.

Trẻ em:

- Viêm tai giữa cấp gây ra bởi Haemophilus influenzae, Haemophilus parainfluenzae, Streptococcus pneumoniae, va Moraxella catarrhalis (gồm cả chủng sinh β- lactamase).

- Viêm hầu họng/viêm amidan do Streptococcus pyogenes

- Nhiễm khuẩn da và cấu trúc da do Staphylococcus aureus (gồm cả chủng sinh β- lactamase) và Streptococcus pyogenes.",thuoc khang sinh
Dược chất chính: Acetylcysteine 200mg,thuoc ho
"Mỗi viên nén chứa:

- Paracetamol 500mg.

- Tá dược: Tinh bột mì, starch 1500, Microcrystallin cellulose PH101, Povidon K90, Natri starch glycolat, Magnesi stearat, Natri benzoat, Talc, Nước tinh khiết.",thuoc giam dau
"Acetaminophen được dùng rộng rãi trong điều trị các chứng đau và sốt từ nhẹ đến vừa.

Đau: Acetaminophen được dùng giảm đau tạm thời trong điều trị các chứng đau nhẹ và vừa như đau do cảm cúm, nhức đầu, đau họng, đau nhức cơ xương, đau do hành kinh, đau răng, đau nửa đầu.

Sốt: Acetaminophen được dùng để giảm thân nhiệt ở bệnh nhân sốt do mọi nguyên nhân nhưng không làm giảm thân nhiệt ở người bình thường.",thuoc giam dau
"Dược chất: Paracetamol 250 mg

Tá dược: Saccharose, manitol, aspartam, povidon, hương cam, hương dâu, hydrogenat castor oil.",thuoc giam dau
"Người lớn và trẻ em > 12 tuổi: uống 1 viên/ lần.

Đau nhiều: người lớn có thể uống 2 viên/ lần.

Khoảng cách giữa 2 lần uống phải hơn 4 giờ và không uống quá 8 viên/ ngày.

Hoặc theo chỉ dẫn của Thầy thuốc.",thuoc giam dau
"Hoạt chất: Clindamycin hydroclorid

Clindamycin là kháng sinh bán tổng hợp tạo ra do thay thế 7(S)-cloro của nhóm 7(R)-hydroxyl của chất gốc lincomycin.

Clindamycin hydroclorid là muối hydroclorid hydrat hóa của clindamycin. Mỗi viên nang chứa clindamycin hydroclorid tương ứng với 300mg clindamycin.",thuoc khang sinh
Bromhexine 8mg,thuoc ho
