Loai thuoc,Ten,Thanh phan,Công dụng (Chỉ định),Cách dùng - Liều dùng
thuoc khang sinh,Fonroxil 500mg trị nhiễm khuẩn (3 vỉ x 10 viên),"Thành phần dược chất: Cefadroxil monohydrat tương ứng với cefadroxil 500mg.
Thành phần tá dược: Microcrystalline cellulose, natri croscarmellose, natri starch glycolat, natri lauryl sulfat, bột talc, magnesi stearat, vỏ nang cứng.","Điều trị các nhiễm khuẩn nhẹ và trung bình do các vi khuẩn nhạy cảm:
Viêm họng, viêm amidan do liên cầu khuẩn.
Viêm phế quản phổi, viêm phổi.
Nhiễm khuẩn đường tiết niệu không biến chứng: Viêm thận - bể thận cấp và mạn tính, viêm bàng quang, viêm niệu đạo.
Nhiễm khuẩn da và mô mềm: Viêm hạch bạch huyết, áp xe, viêm tế bào, loét do nằm lâu, viêm vú, bệnh nhọt, viêm quầng.
Với những trường hợp nhiễm khuẩn do vi khuẩn Gram dương, penicilin vẫn là thuốc ưu tiên được chọn, các kháng sinh cephalosporin thế hệ 1 chỉ là thuốc được chọn thứ hai để sử dụng, cần tiến hành nuôi cấy và thử nghiệm tính nhạy cảm của vi khuẩn trước và trong khi điều trị. Cần khảo sát chức năng thận ở người bệnh suy thận hoặc nghi bị suy thận.","Thuốc dùng đường uống. Thuốc có thể uống lúc đói hay no. Tuy nhiên nên uống lúc no để hạn chế tác dụng không mong muốn trên đường tiêu hóa của thuốc.
Liều dùng:
Liều lượng phụ thuộc vào sự nhạy cảm của vi khuẩn, mức độ nghiêm trọng của bệnh và tình trạng lâm sàng của bệnh nhân (thận và chức năng gan)."
thuoc khang sinh,"Glogyl trị nhiễm khuẩn răng miệng cấp tính, mạn tính hoặc tái phát (2 vỉ x 10 viên)","Thành phần hoạt chất:
Spiramycin 750.000 I.U
Metronidazol 125mg
Thành phần tá dược: Tinh bột ngô, mannitol 160C, croscarmellose natri, povidon K30, magnesi stearat, opadry II white, opadry II red.","Nhiễm khuẩn răng miệng cấp tính, mạn tính hoặc tái phát, đặc biệt là áp-xe răng, viêm nướu, viêm miệng, viêm nha chu, viêm tuyến mang tai, viêm dưới hàm.
Phòng ngừa nhiễm khuẩn răng miệng sau phẫu thuật.","Người lớn: 4-6 viên/ngày, chia làm 2-3 lần. Trường hợp nặng, liều có thể tới 8 viên/ngày.
Trẻ em:
6-10 tuổi: 2 viên/ngày, chia làm 2 lần.
10-15 tuổi: 3 viên/ngày, chia làm 3 lần.
* Cách dùng
Uống trong bữa ăn."
thuoc khang sinh,Tetracycline Mekophar 500mg trị nhiễm khuẩn (10 vỉ x 10 viên),"Hoạt chất: Tetracycline hydrochloride 500mg.
Tá dược: Talc, tinh bột sắn vừa đủ 1 viên.","Các trường hợp nhiễm khuẩn do vi khuẩn nhạy cảm với Tetracycline 500mg:
- Nhiễm khuẩn do Chlamydia: bệnh Nicolas-Favre; viêm phổi, viêm phế quản hoặc viêm xoang do Chlamydia pneumoniae; sốt vẹt (Psittacosis); bệnh mắt hột; viêm niệu đạo không đặc hiệu do Chlamydia trachomatis;...
- Nhiễm khuẩn do Rickettsia.
- Nhiễm khuẩn do Mycoplasma, đặc biệt các nhiễm khuẩn do Mycoplasma pneumoniae.
- Nhiễm khuẩn do Brucella và Francisella tularensis.
- Bệnh dịch hạch (do Yersinia pestis), bệnh dịch tả (do Vibriocholerae).
- Trứng cá.
- Tham gia trong một số phác đồ trị H. pylori trong bệnh loét dạ dày - tá tràng.
- Phối hợp với thuốc chống sốt rét như Quinine để điều trị sốt rét do Plasmodium falciparum kháng thuốc.
Do mức độ kháng thuốc của vi khuẩn chỉ nên dùng Tetracycline khi đã chứng minh được vi khuẩn gây bệnh còn nhạy cảm.","Uống thuốc 1 giờ trước hoặc 2 giờ sau khi ăn, nên uống với nhiều nước ở tư thế đứng, không nên nằm nghỉ ngay sau khi uống thuốc:
- Người lớn: 2 - 4 viên/24 giờ, chia 2 - 4 lần.
- Trẻ em từ 8 - 15 tuổi: 10 - 25mg/kg/24 giờ, chia 3 - 4 lần (không quá 2g/24 giờ)."
thuoc khang sinh,Hapenxin Capsules 500mg trị nhiễm khuẩn (10 vỉ x 10 viên),"Cephalexin monohydrat tương đương 500 mg cephalexin
Tá dược: Aerosil, natri starch glycolat, magnesi stearat, talc vừa đủ 1 viên.","Cephalexin được chỉ định trong các trường hợp nhiễm khuẩn gây ra bởi vi khuẩn nhạy cảm, không chỉ định điều trị các nhiễm khuẩn nặng.
- Nhiễm khuẩn đường hô hấp, tai mũi họng: Viêm xoang, viêm amiđan, viêm tai giữa, nhiễm khuẩn răng, đặc biệt trong nhiễm khuẩn mũi hầu do Streptococci.
- Nhiễm khuẩn da, mô mềm và xương.
- Nhiễm khuẩn đường tiết niệu - sinh dục: Viêm bàng quang, bệnh lậu (khi dùng penicilin không phù hợp).
Dự phòng: Nhiễm khuẩn đường niệu tái phát. Thay thế penicilin điều trị dự phòng cho bệnh nhân bị mắc bệnh tim phải điều trị răng.","Uống thuốc trước bữa ăn.
Cần dùng thuốc theo đúng liệu trình. Thời gian điều trị nên kéo dài ít nhất từ 7-10 ngày.
Người lớn và trẻ em trên 12 tuổi: 500 mg (1 viên) x 4 lần/ngày, tùy theo mức độ nhiễm khuẩn. Liều có thể lên đến 1 g (2 viên) x 4 lần/ ngày (liều 4 g/ngày). Trẻ em từ 7 -12 tuổi: 1 - 2 viên x 2 lần/ngày.
Với bệnh lậu, thường dùng liều duy nhất 3 g với 1 g probenecid cho nam hay 2 g với 0,5 g probenecid cho nữ.
Điều chỉnh liều khi có suy thận:
Độ thanh thải creatinin ≥ 50 ml/ phút, creatinin huyết thanh ≤ 132 micromol/l, liều duy trì tối đa 1 g, 4 lần trong 24 giờ.
Độ thanh thải creatinin 49 - 20 ml/ phút, creatinin huyết thanh 133 - 295 micromol/l, liều duy trì tối đa 1 g, 3 lần trong 24 giờ.
Độ thanh thải creatinin 19 - 10 ml/ phút, creatinin huyết thanh 296 - 470 micromol/l, liều duy trì tối đa 500 mg, 3 lần trong 24 giờ.
Độ thanh thải creatinin ≤ 10 ml/phút, creatinin huyết thanh ≥ 471 micromol/l, liều duy trì tối đa 250 mg, 2 lần trong 24 giờ.
Hoặc theo sự chỉ dẫn của Thầy thuốc."
thuoc khang sinh,"ZidocinDHG trị nhiễm trùng răng miệng cấp tính, mạn tính hoặc tái phát (2 vỉ x 10 viên)","Hoạt chất: Spiramycin 750.000 IU, Metronidazol 125mg.
Tá dược: Tinh bột sắn, avicel, talc, magnesi stearat, sodium starch glycolat, ludipress, natri lauryl sulfat, PVP K30, PVA, HPMC, kollidon VA 64, titan dioxyd, màu eurolake ponceau vừa đủ 1 viên","Nhiễm trùng răng miệng cấp tính, mãn tính hoặc tái phát đặc biệt là áp xe răng, viêm nướu, viêm miệng, viêm nha chu, viêm tuyến mang tai, viêm dưới hàm. Phòng ngừa nhiễm khuẩn răng miệng hậu phẫu.","Người lớn: 4 - 6 viên/ngày, chia làm 2 - 3 lần.
Trong trường hợp nặng có thể dùng 8 viên/ngày.
Trẻ em từ 10 - 15 tuổi: 3 viên/ngày.
Trẻ em từ 6 - 10 tuổi: 2 viên/ngày.
Hoặc theo chỉ dẫn của thầy thuốc.
Đọc kỹ hướng dẫn sử dụng trước khi dùng.
Nếu cần thêm thông tin, xin hỏi ý kiến bác sĩ.
Thuốc này chỉ dùng theo đơn của bác sĩ."
thuoc khang sinh,Cefalexin Domesco 500mg trị nhiễm khuẩn (10 vỉ x 10 viên),"Mỗi viên nang cứng chứa:
- Hoạt chất: Cefalexin monohydrat compacted tương đương Cefalexin 500mg.
- Tá dược: Natri starch glycolat, Magnesi stearat, Colloidal Silicon dioxid A200.","Cefalexin được chỉ định trong các nhiễm khuẩn do các vi khuẩn nhạy cảm, nhưng không chỉ định điều trị các nhiễm khuẩn nặng.
- Nhiễm khuẩn đường hô hấp: viêm phế quản cấp và mạn tính, giãn phế quản nhiễm khuẩn.
- Nhiễm khuẩn tai, mũi, họng: viêm tai giữa, viêm xương chũm, viêm xoang, viêm amiđan hốc và viêm họng.
- Viêm đường tiết niệu: viêm bàng quang và viêm tuyến tiền liệt. Điều trị dự phòng nhiễm khuẩn đường niệu tái phát.
- Nhiễm khuẩn sản và phụ khoa.
- Nhiễm khuẩn da, mô mềm và xương.
- Bệnh lậu (khi penicillin không phù hợp).
- Nhiễm khuẩn răng.
- Điều trị dự phòng thay penicillin cho người mắc bệnh tim phải điều trị răng.","Dùng uống
- Người lớn: 250 - 500mg cách 6 giờ/lần, tùy theo mức độ nhiễm khuẩn. Liều có thể lên tới 4g/ngày.
- Trẻ em ≥ 20kg: 25 - 60mg/kg/ngày, chia thành 2 - 3 lần. Trường hợp nhiễm khuẩn nặng, liều tối đa là 100mg/kg/ngày.
* Lưu ý: thời gian điều trị nên kéo dài ít nhất từ 7 đến 10 ngày. Trong các nhiễm khuẩn đường niệu phức tạp, tái phát, mạn tính, nên điều trị 2 tuần (1g/lần x 2 lần/ngày). Với bệnh lậu, thường dùng liều duy nhất 3g với 1g probenecid cho nam hay 2g với 0.5g probenecid cho nữ. Dùng kết hợp với probenecid sẽ kéo dài thời gian đào thải của cefalexin và làm tăng nồng độ trong huyết thanh từ 50 - 100%."
thuoc khang sinh,Dobixil 500mg trị nhiễm khuẩn do các vi khuẩn nhạy cảm gây ra (10 vỉ x 10 viên),"Mỗi viên nang cứng chứa:
Thành phần dược chất: Cefadroxil (dưới dạng Cefadroxil monohydrat) 500mg.
Thành phần tá dược: Natri starch glycolat, Natri stearyl fumarat, Magnesi stearat, Nang cứng gelatin số 0 (Candurin silver fine, Brilliant blue FCF (FD&C blue No.1), Allura red AC (FD&C red No.40), Quinolin yellow (D&C Yellow No.10), Tartrazin (FD&C yellow No.5), Natri lauryl sulfat, Gelatin).","Cefadroxil 500mg được chỉ định để điều trị nhiễm khuẩn do các vi khuẩn nhạy cảm:
- Viêm họng và viêm amidan do Streptococcus.
- Viêm phổi - phế quản, viêm phổi nhiễm khuẩn.
- Nhiễm khuẩn đường tiết niệu không biến chứng như viêm thận, viêm bàng quang.
- Nhiễm khuẩn da và mô mềm: Áp xe, bệnh nhọt, chốc lở, viêm quầng, viêm da mủ, viêm hạch bạch huyết.
Nên theo dõi những hướng dẫn về việc sử dụng kháng sinh ở địa phương.","Luôn dùng thuốc đúng liều lượng trong đơn thuốc.
Liều lượng phụ thuộc vào sự nhạy cảm của vi khuẩn gây bệnh, mức độ trầm trọng của bệnh và tình trạng lâm sàng của bệnh nhân (chức năng thận và gan).
- Trẻ em: Có thể tăng liều lên 100mg/kg/ngày.
- Người lớn: Có thể tăng liều tùy theo mức độ nhiễm khuẩn. Liều tối đa là 4g/ngày. Nhiễm khuẩn đường tiết niệu mãn tính phải được điều trị kéo dài và chuyên sâu, đồng thời tiếp tục thử nghiệm tính nhạy cảm và theo dõi lâm sàng.
Không khuyến cáo dùng cefadroxil 500mg (viên nang) cho trẻ sơ sinh và trẻ em dưới 6 tuổi. Đối với trẻ nhỏ và trẻ em có cân nặng dưới 40kg, có thể dùng dạng hỗn dịch uống (cefadroxil 250mg/5ml hoặc 500mg/ 5ml)."
thuoc khang sinh,Amoxicillin Capsules BP 500mg trị nhiễm khuẩn (10 vỉ x 10 viên),"Mỗi viên nang cứng gelatin chứa:
Hoạt chất: Amoxicillin trihydrate tương đương Amoxicillin 500mg.
Tá dược: Magnesi stearate, natri lauryl sulfat, talc tinh khiết, vỏ nang cứng.","Điều trị nhiễm khuẩn:
Viên nang amoxicillin được chỉ định để điều trị các nhiễm khuẩn sau ở người lớn và trẻ em:
- Viêm xoang cấp do vi khuẩn.
- Viêm tai giữa cấp.
- Viêm amidan và viêm họng cấp do liên cầu khuẩn.
- Cơn cấp của viêm phế quản mạn tính.
- Viêm phổi mắc phải ở cộng đồng.
- Viêm bàng quang cấp.
- Nhiễm khuẩn đường tiết niệu không triệu chứng ở phụ nữ mang thai.
- Viêm bể thận cấp.
- Sốt do thương hàn và phó thương hàn.
- Áp xe răng do viêm tế bào lan rộng.
- Nhiễm khuẩn khớp giả.
- Diệt trừ vi khuẩn Helicobacter pylori.
- Bệnh Lyme.
Amoxicillin cũng được chỉ định trong dự phòng viêm nội tâm mạc.
Cần phải xem xét hướng dẫn chính thức về việc sử dụng các chất kháng khuẩn thích hợp.","Liều dùng:
Liều amoxicillin được lựa chọn đơn trị nhiễm khuẩn cần được tính đến các yếu tố:
- Các vi sinh vật gây bệnh dự kiến và độ nhạy của chúng với kháng sinh.
- Mức độ nghiêm trọng và vị trí nhiễm khuẩn.
- Tuổi tác, trọng lượng và chức năng thận của bệnh nhân được phân chia theo bảng dưới đây:
Thời gian điều trị được xác định dựa vào loại nhiễm khuẩn và đáp ứng của bệnh nhân, và thường càng ngắn càng tốt. Một số loại nhiễm khuẩn yêu cầu thời gian điều trị dài hơn.
Cách dùng:
- Đường uống.
- Hấp thu amoxicillin không bị ảnh hưởng bởi thức ăn.
- Uống cùng với nước, không được mở nắp nang."
thuoc khang sinh,Hafixim 200 Tabs trị nhiễm khuẩn do vi khuẩn nhạy cảm (3 vỉ x 10 viên),"Cefixim (dưới dạng cefixim trihydrat) 200mg.
Tá dược: Tinh bột biến tính (National 78-1551), microcrystalline cellulose M112, calci hydrophosphat dihydrat, magnesi stearat, hypromellose 2910 (6cp), hypromellose 2910 (15cp), PEG 6000, talc, titan dioxyd, oxyd sắt vàng vừa đủ 1 viên.","Chỉ định điều trị các trường hợp nhiễm khuẩn do vi khuẩn nhạy cảm với cefixim như sau:
Nhiễm khuẩn đường tiết niệu không biến chứng gây bởi E. coli hoặc Proteus mirabilis.
Viêm tai giữa gây bởi Haemophilus influenzae, Moraxella catarrhalis, Streptococcus pyogenes.
Viêm họng và amidan gây bởi Streptococcus pyogenes.
Viêm phế quản cấp và mạn tính gây bởi Streptococcus pneumonia hoặc Haemophilus influenzae hoặc Moraxella catarrhalis.
Bệnh lậu không biến chứng gây bởi Neisseria gonorrhoeae.","Uống trước hoặc sau bữa ăn đều được.
Uống nguyên viên hoặc bẻ đôi. Không nên nhai, nghiền hoặc hòa tan trong nước.
Thời gian điều trị thông thường là 7 ngày, có thể tới 14 ngày nếu cần. Viêm tai giữa gây bởi Streptococcus pyogenes thời gian điều trị là 10 ngày.
Người lớn và trẻ em trên 12 tuổi hoặc trẻ em cân nặng trên 45 kg: 400 mg/ ngày, có thể dùng 1 lần trong ngày hoặc chia làm 2 lần, mỗi lần cách nhau 12 giờ.
Hiệu quả và an toàn của cefixim ở trẻ dưới 6 tháng tuổi chưa được xác lập.
Bệnh lậu không biến chứng do Neisseria gonorrhoeae:Uống liều duy nhất 400 mg.
Điều chỉnh liều khi có suy thận: Không cần điều chỉnh liều với người bệnh có độ thanh thải creatinin > 60 ml/ phút. Người lớn có độ thanh thải creatinin 21 - 60 ml/ phút dùng liều 300 mg/ ngày, nếu độ thanh thải creatinin < 20 ml/ phút dùng liều cefixim 200 mg/ ngày.
Hoặc theo chỉ dẫn của Thầy thuốc."
thuoc khang sinh,Claminat IMP 625 trị nhiễm khuẩn (2 vỉ x 7 viên),"Mỗi viên nén bao phim chứa:
Amoxicilin (dưới dạng amoxicilin trihydrat) 500mg.
Acid clavulanic (dưới dạng kali clavulanat) 125mg.
Tá dược: Cellulose vi tinh thể, Natri starch glycolat, Colloidal anhydrous silica, Magnesi stearat, Sepifilm.","Claminat IMP 625 được chỉ định trong các nhiễm khuẩn gây ra do các chủng vi khuẩn nhạy cảm với thuốc như:
- Nhiễm khuẩn đường hô hấp trên: viêm amidan, viêm xoang, viêm tai giữa.
- Nhiễm khuẩn đường hô hấp dưới: viêm phế quản cấp và mạn, viêm phổi - phế quản.
- Nhiễm khuẩn nặng đường tiết niệu - sinh dục: viêm bàng quang, viêm niệu đạo, viêm bể thận (nhiễm khuẩn đường sinh dục nữ).
- Nhiễm khuẩn da và mô mềm: mụn nhọt, côn trùng đốt, áp xe, nhiễm khuẩn vết thương, viêm mô tế bào.
- Nhiễm khuẩn xương và khớp: viêm tủy xương.
- Nhiễm khuẩn nha khoa: áp xe ổ răng.
- Nhiễm khuẩn khác: nhiễm khuẩn do sẩy thai, nhiễm khuẩn sản, nhiễm khuẩn trong ổ bụng.","Liều dùng:
- Người lớn và trẻ em từ 40 kg trở lên:
+ Nhiễm khuẩn nặng và nhiễm khuẩn đường hô hấp: 500mg amoxicilin/125mg acid clavulanic mỗi 8 giờ.
+ Nhiễm khuẩn khác: 500mg amoxicilin/125mg acid clavulanic mỗi 12 giờ.
- Trẻ em dưới 40 kg:
- Từ 20mg amoxicilin/ 5mg acid clavulanic/kg cân nặng đến 60mg amoxicilin/15mg acid clavulanic/kg cân nặng chia làm 3 lần 1 ngày.
- Tính an toàn của thuốc với liều trên 40mg amoxicilin/ 10mg acid clavulanic/kg/ngày ở trẻ em dưới hai tuổi chưa được biết rõ ràng.
- Người cao tuổi: không cần chỉnh liều.
- Bệnh nhân suy thận: điều chỉnh liều và số lần dùng thuốc tùy theo độ thanh thải creatinin.
Cách dùng:
- Uống thuốc vào lúc bắt đầu ăn để giảm thiểu hiện tượng không dung nạp thuốc ở dạ dày - ruột.
- Không dùng thuốc quá 14 ngày mà không kiểm tra xem xét lại cách điều trị."
thuoc khang sinh,Lincomycin Vidipha 500mg trị nhiễm khuẩn nặng (10 vỉ x 10 viên),"Mỗi viên nang cứng chứa:
Hoạt chất chính: Lincomycin 500mg (Dưới dạng lincomycin hydroclorid).
Tá dược: Magnesi stearat.","Điều trị nhiễm khuẩn nặng do các vi khuẩn nhạy cảm, bao gồm:
Tai, mũi và họng.
Phế quản phổi.
Nha khoa (nhiễm trùng niêm mạc miệng).
Da.
Sinh dục.
Xương và khớp.
Sau phẫu thuật bụng.
Nhiễm khuẩn huyết.","Cách dùng:
Dùng theo đường uống.
Uống xa bữa ăn, ít nhất 1 - 2 giờ trước hoặc sau khi ăn.
Liều dùng:
Người lớn: uống 3 - 4 viên/ngày tùy thuộc mức độ nghiêm trọng của nhiễm khuẩn.
Trẻ em trên 1 tháng tuổi: dùng dạng bào chế phù hợp khác, uống 30mg - 60mg/kg thể trọng ngày tùy thuộc mức độ nghiêm trọng của nhiễm khuẩn.
Liều dùng cho người suy thận: giảm liều với người suy thận nặng, liều dùng thích hợp bằng 25 - 30% liều bình thường."
thuoc khang sinh,Zinnat Tablets 500mg trị nhiễm khuẩn (1 vỉ x 10 viên),"Zinnat viên 500mg: Mỗi viên chứa Cefuroxime (dạng cefuroxime axetil) 500mg.
Tá dược: Microcrystalline Cellulose; Croscarmellose Sodium type A; Sodium Lauryl Sulphate; Hydrogenated Vegetable Oil; Colloidal Sillicon Dioxide; Hypromellose; Propylene Glycol; Methyl parahydroxybenzoate; Propyl parahydroxybenzoate và Opaspray M-1 -7120 J.","ZINNAT là tiền chất dạng uống của cefuroxime, kháng sinh diệt khuẩn nhóm cephalosporin, bền vững với hầu hết beta lactamase và có hoạt phổ rộng đối với vi khuẩn Gram dương và Gram âm.
Thuốc được chỉ định để điều trị những nhiễm khuẩn do vi khuẩn nhạy cảm gây ra.
Tính nhạy cảm của vi khuẩn đối với ZINNAT sẽ thay đổi theo địa lý và thời gian và nên tham khảo dữ liệu về tính nhạy cảm của vi khuẩn ở địa phương nếu có (xem phần Các đặc điểm dược học, Dược lực học).
Chỉ định gồm:
- Nhiễm khuẩn đường hô hấp trên, ví dụ nhiễm khuẩn tai-mũi-họng như viêm tai giữa, viêm xoang, viêm amidan và viêm họng.
- Nhiễm khuẩn đường hô hấp dưới như viêm phổi, viêm phế quản cấp và những đợt kịch phát cấp của viêm phế quản mạn.
- Nhiễm khuẩn niệu - sinh dục như viêm thận-bể thận, viêm bàng quang và viêm niệu đạo.
- Nhiễm khuẩn da và mô mềm như nhọt, bệnh mủ da và chốc lở.
- Bệnh lậu, viêm niệu đạo cấp không biến chứng do lậu cầu và viêm cổ tử cung.
- Điều trị bệnh Lyme ở giai đoạn sớm và phòng ngừa tiếp theo bệnh Lyme giai đoạn muộn ở người lớn và trẻ em trên 12 tuổi.
Cefuroxime cũng có ở dạng muối natri (ZINACEF) dùng đường tiêm truyền. Điều này cho phép điều trị tiếp nối với cùng một kháng sinh khi có chỉ định lâm sàng chuyển từ điều trị đường tiêm truyền sang đường uống.
Khi thích hợp, ZINNAT có hiệu quả khi sử dụng tiếp theo sau điều trị khởi đầu bằng ZINACEF (cefuroxime natri) đường tiêm truyền trong điều trị viêm phổi và những đợt kịch phát cấp của viêm phế quản mạn.","Một đợt điều trị thường là 7 ngày (trong phạm vi từ 5 đến 10 ngày).
Nên uống ZINNAT sau khi ăn để đạt được hấp thu tối ưu.
Viêm phổi:
1.5g ZINACEF x 3 hoặc x 2 lần/ngày (tiêm tĩnh mạch hoặc tiêm bắp) trong 48 - 72 giờ, tiếp theo dùng ZINNAT (cefuroxime axetil) đường uống 500mg x 2 lần/ngày trong 7 - 10 ngày.
Những đợt kịch phát cấp của viêm phế quản mạn:
750mg ZINACEF x 3 hoặc x 2 lần/ngày (tiêm tĩnh mạch hoặc tiêm bắp) trong 48 - 72 giờ, tiếp theo dùng ZINNAT (cefuroxime axetil) đường uống 500mg x 2 lần/ngày trong 5 - 10 ngày. Thời gian điều trị cả đường tiêm truyền và đường uống được xác định bởi mức độ nặng của nhiễm khuẩn và tình trạng lâm sàng của bệnh nhân.
Viên nén ZINNAT không nên nghiền nát và do đó không thích hợp để điều trị những bệnh nhân như trẻ còn nhỏ, những người không thể nuốt được viên thuốc. Có thể cho trẻ uống ZINNAT hỗn dịch."
thuoc khang sinh,Ospexin 500mg trị nhiễm khuẩn (1 vỉ x 10 viên),"Mỗi viên nang cứng Ospexin 500mg chứa:
Thành phần dược chất: Cephalexin (dưới dạng cephalexin monohydrat) 500 mg
Thành phần tá dược: Cellulose vi tinh thể, Magnesi stearat.","Cephalexin thường được chỉ định trong điều trị các nhiễm khuẩn nhẹ đến trung bình do các vi khuẩn nhạy cảm với thuốc gây ra như:
- Nhiễm khuẩn đường hô hấp: viêm phế quản cấp và mạn tính, giãn phế quản nhiễm khuẩn.
- Nhiễm khuẩn tai, mũi, họng: viêm tai giữa, viêm xương chũm, viêm xoang, viêm amiđan hốc và viêm họng.
- Viêm đường tiết niệu: viêm bàng quang và viêm tuyến tiền liệt.
- Điều trị dự phòng nhiễm khuẩn đường tiết niệu tái phát.
- Nhiễm khuẩn da, mô mềm.
- Nhiễm khuẩn xương, khớp: bao gồm cả viêm cốt tủy.
- Điều trị dự phòng viêm màng trong tim khi bệnh nhân dị ứng với kháng sinh nhóm penicillin.","Người lớn và trẻ em trên 15 tuổi:
+ Liều thường dùng: 500mg cách 12 giờ/lần (tương ứng 1 viên mỗi 12 giờ) trong 7-14 ngày, tùy thuộc vào loại nhiễm khuẩn và mức độ nhiễm khuẩn. Trong viêm họng và viêm amiđan, dùng thuốc ít nhất 10 ngày.
+ Liều dùng có thể lên đến 4 g/ngày đối với nhiễm khuẩn nặng hoặc do nhiễm vi khuẩn kém nhạy cảm với thuốc. Khi cần liều cao hơn 4 g/ngày, cần cân nhắc sử dụng một cephalosporin tiêm.
Trẻ em từ 5-15 tuổi:
+ Các nhiễm khuẩn nặng: 500mg mỗi 8 giờ (tương ứng 1 viên mỗi 8 giờ).
+ Lưu ý: Dạng bào chế của Ospexin 500mg là viên nang cứng, chỉ thích hợp cho trẻ có khả năng nuốt nguyên viên thuốc.
Bệnh nhân suy thận:
+ Phải dùng thận trọng cephalexin cho bệnh nhân suy thận nặng vì liều an toàn có thể thấp hơn liều thông thường.
+ Không cần giảm liều đối với người bệnh có độ thanh thải creatinin > 40ml/phút.
+ Nếu độ thanh thải creatinin < 40 ml/phút, liều đầu tiên bằng liều thông thường, sau đó điều chỉnh liều theo độ thanh thải creatinin như bảng dưới:
Hàm lượng cephalexin trong Ospexin 500 mg không phù hợp, nên dùng sản phẩm khác có hàm lượng thấp hơn.
Bệnh nhân thẩm phân máu:
+ Thẩm phân máu: uống thêm 1 liều thường dùng sau mỗi lần thẩm phân máu.
+ Thẩm phân màng bụng liên tục tại nhà: liều dùng như bệnh nhân suy thận.
Bệnh nhân suy gan:
Không cần phải chỉnh liều
Cách dùng:
Dùng đường uống. Do thức ăn có thể làm giảm tốc độ hấp thu của thuốc vì vậy nên uống lúc đói, tốt nhất khoảng 1 giờ trước khi ăn.
Trong trường hợp một lần quên không dùng thuốc, cần uống một liều ngay khi nhớ ra. Nếu gần thời điểm uống liều tiếp theo, bỏ qua liều đã quên yà uống liều kế tiếp theo đơn thuốc của bác sĩ. Không tự ý dùng liều gấp đôi để bù cho liều đã bỏ lỡ."
thuoc khang sinh,"Doxycycline Mekophar 100mg trị nhiễm khuẩn do bệnh Brucella, bệnh tả (10 vỉ x 10 viên)","Doxycycline hyclate tương đương Doxycycline 100mg.
Tá dược vừa đủ 1 viên (Tinh bột sắn, Talc, Lactose).","Doxycycline được chỉ định để điều trị: bệnh Brucella; bệnh tả do Vibrio cholerae; u hạt bẹn do Calymmatobacterium granulomatis; hồng ban loang mạn tính do Borrelia burgdorferi; sốt hồi quy do Borrelia recurrentis; viêm niệu đạo không đặc hiệu do Ureaplasma urealyticum; “viêm phổi không điển hình” do Mycoplasma pneumoniae; bệnh do Rickettsia rickettsii; bệnh sốt Q và bệnh do Rickettsia akari; bệnh sốt vẹt do Chlamydia psittaci; các bệnh Nicolas - Favre, viêm kết mạc hạt vùi, viêm niệu đạo không đặc hiệu và viêm cổ tử cung do Chlamydia trachomatis; viêm phổi do Chlamydia pneumoniae.","Theo chỉ dẫn của bác sỹ.
Liều đề nghị: uống thuốc vào bữa ăn với nhiều nước.
Người lớn: uống 1 viên x 2 lần/ngày đầu, ngày tiếp theo uống một liều duy nhất 1 viên/lần. Nếu nhiễm khuẩn nặng uống 1 viên x 2 lần/ngày.
Trẻ em ≥ 8 tuổi: ngày đầu uống 4 - 5mg/kg thể trọng, chia 2 lần/ngày, ngày tiếp theo uống 2 - 2,5mg/kg liều duy nhất trong ngày. Nếu nhiễm khuẩn nặng uống 2 - 2,5mg/kg x 2 lần/ngày.
Bệnh nhân suy thận: không cần giảm liều vì ngoài thận Doxycycline còn thải trừ qua gan, mật và đường tiêu hóa."
